,words,repeated
1065,Runner instead,0
1066,rradioheadest I,0
1067,I havent,0
1068,havent read,0
1069,read the,15
1070,thief yet,1
1071,yet but,2
1072,I like,0
1073,like the,5
1074,the movie,7
1075,movie if,1
1076,if thats,0
1077,thats good,0
1078,good enough,0
1079,shuvashisdasbd Let,0
1080,Let me,0
1081,me introduce,1
1082,introduce you,1
1083,you to,2
1084,to Gael,0
1085,Gael and,0
1086,and Jack,0
1087,Jack They,0
1088,They live,0
1089,live in,2
1090,in New,0
1091,New York,0
1092,York in,0
1093,in and,8
1094,and their,2
1095,their love,2
1096,love is,2
1097,is very,2
1098,very forbidden,0
1099,forbidden httpstcoZTFSer,0
1100,httpstcoZTFSer lgbtq,0
1101,sthlikeazheen Thinking,0
1102,Thinking of,0
1103,book fitting,1
1104,fitting this,1
1105,this request,1
1106,request makes,1
1107,makes me,1
1108,me realize,1
1109,realize I,0
1110,I read,0
1111,read almost,1
1112,almost no,1
1113,no sad,1
1114,sad books,1
1115,books ðŸ,0
1116,A Silent,0
1117,Silent Voice,0
1118,Voice manga,0
1119,manga dunno,0
1120,dunno if,1
1121,if I,0
1122,I can,0
1123,can say,1
1124,say it,3
1125,book maybe,0
1126,Thief if,0
1127,if u,1
1128,u havenât,0
1129,havenât read,0
1130,GavinGeddes Gael,0
1131,Gael does,0
1132,does love,1
1133,love football,0
1134,football Jacks,0
1135,Jacks never,0
1136,never heard,1
1137,heard of,1
1138,of it,1
1139,it Its,0
1140,Its New,0
1141,York They,0
1142,They have,0
1143,a dangerous,1
1144,dangerous love,0
1145,love httpstcoZTFSer,0
1146,SamuelSouthwell amp,0
1147,amp I,0
1148,I made,0
1149,made Come,0
1150,Come read,0
1151,read some,1
1152,some old,1
1153,old fashioned,4
1154,fashioned romance,0
1155,romance forbidden,0
1156,forbidden and,1
1157,and Irish,0
1158,Irish gangster,0
1159,gangster and,1
1160,and a,7
1161,a Kansas,0
1162,Kansas medical,0
1163,medical student,2
1164,student in,1
1165,York so,0
1166,so many,5
1167,many ways,1
1168,ways they,1
1169,can get,2
1170,get ruined,0
1171,ruined but,0
1172,but love,1
1173,love still,1
1174,still grips,1
1175,grips them,0
1176,them httpstcoZTFSer,0
1177,sthlikeazheen The,0
1178,Please retweet,0
1179,retweet to,1
1180,to help,3
1181,help me,1
1182,me find,1
1183,find moots,0
1184,moots Xxx,0
1185,Here are,0
1186,my favs,3
1187,The renegades,0
1188,renegades trilogy,1
1189,Chaos walking,0
1190,night circus,2
1191,The lunar,0
1192,lunar chronicles,1
1193,someone just,0
1194,just added,5
1195,added a,1
1196,a quote,1
1197,quote from,1
1198,from the,16
1199,in their,2
1200,their bio,1
1201,bio but,1
1202,but they,2
1203,they clearly,1
1204,clearly translated,1
1205,translated it,1
1206,it from,3
1207,the Portuguese,0
1208,Portuguese quote,0
1209,quote ðŸ,0
1210,ðŸ its,0
1211,its cool,0
1212,cool that,1
1213,that I,0
1214,I could,0
1215,could recognize,1
1216,recognize where,1
1217,where the,5
1218,the quote,1
1219,quote was,1
1220,was from,1
1221,from and,1
1222,and remember,1
1223,remember the,2
1224,the original,2
1225,original and,1
1226,that it,2
1227,was wrong,1
1228,wrong because,1
1229,was a,12
1230,a translation,1
1231,translation shjdhsj,0
1232,since To,0
1233,To Kill,0
1234,Kill a,0
1235,a Mockingbird,0
1236,mostlyinane Oh,0
1237,Oh btw,0
1238,btw in,0
1239,in my,6
1240,my nonfooty,0
1241,nonfooty time,0
1242,time these,1
1243,these past,1
1244,past few,1
1245,few weeks,2
1246,weeks Iâve,0
1247,Iâve been,0
1248,been reading,1
1249,reading The,0
1250,The Queenâs,0
1251,Queenâs Thief,0
1252,Thief series,0
1253,series bc,1
1254,bc of,1
1255,of one,1
1256,of your,6
1257,your tweets,1
1258,tweets amp,0
1259,amp Iâm,0
1260,Iâm on,0
1261,on book,3
1262,book amp,0
1263,I WOULD,0
1264,WOULD DIE,0
1265,DIE FOR,0
1266,FOR GEN,0
1267,brookeab idk,1
1268,idk if,1
1269,if youâve,0
1270,youâve read,0
1271,read these,1
1272,these but,1
1273,but here,1
1274,The Fairy,0
1275,Fairy Tale,0
1276,Tale Thief,0
1277,book by,13
1278,by Katie,0
1279,Katie Tate,0
1280,Tate YA,0
1281,YA Urban,0
1282,Urban Fantasy,0
1283,Fantasy httpstcoJTghv,0
1284,kristyswords Urban,0
1285,Urban fiction,0
1286,fiction YA,0
1287,YA fairytale,0
1288,Sports Documentaries,0
1289,Documentaries type,0
1290,plan Fantasy,0
1291,Fantasy Black,0
1292,Black because,0
1293,has Black,0
1294,Black Sabbath,0
1295,Sabbath s,0
1296,Venice at,0
1297,shuvashisdasbd Were,0
1298,Were already,0
1299,already following,1
1300,following each,1
1301,each other,0
1302,other Have,0
1303,Have you,0
1304,you had,1
1305,had a,2
1306,a chance,1
1307,chance to,1
1308,to look,1
1309,at httpstcoZTFSer,0
1310,httpstcoZTFSer yet,0
1311,Rainhatrouxs chorei,0
1312,chorei lendo,1
1313,lendo the,1
1314,Godamnit I,0
1315,I thought,0
1316,thought rereading,1
1317,rereading The,0
1318,Thief would,0
1319,would be,4
1320,be easier,1
1321,easier the,1
1322,the second,3
1323,second time,0
1324,time but,2
1325,but nooo,0
1326,SierraWhiskey That,0
1327,That actually,0
1328,actually happened,1
1329,happened in,1
1330,the comic,1
1331,comic book,2
1332,book But,0
1333,But you,0
1334,know what,3
1335,what didnât,0
1336,didnât happen,0
1337,happen Catwoman,0
1338,Catwoman showing,0
1339,showing up,2
1340,up and,2
1341,and tossing,1
1342,tossing them,1
1343,them the,2
1344,the match,1
1345,match to,1
1346,to light,1
1347,light the,1
1348,the money,2
1349,money on,1
1350,on fire,0
1351,fire WTF,0
1352,Thatâs not,0
1353,not her,1
1354,her character,0
1355,character She,0
1356,She is,0
1357,thief Even,0
1358,Even Harvey,0
1359,Harvey Dent,0
1360,Dent was,0
1361,was tempted,1
1362,tempted by,1
1363,money but,1
1364,but Batman,0
1365,Batman never,0
1366,never wavered,0
1367,wavered httpstcotBTyafCw,0
1368,Book of,0
1369,of pace,0
1370,pace has,0
1371,has slowed,1
1372,slowed but,1
1373,but weâre,0
1374,weâre getting,0
1375,getting back,1
1376,back to,2
1377,to it,2
1378,The Falcon,0
1379,Falcon Thief,0
1380,Thief A,0
1381,A True,0
1382,True Tale,0
1383,Tale of,0
1384,of Adventure,0
1385,Adventure Treachery,0
1386,Treachery and,0
1387,the Hunt,0
1388,Hunt for,0
1389,the Perfect,0
1390,Perfect Bird,0
1391,Bird by,0
1392,by Joshua,0
1393,Joshua Hammer,0
1394,One sentence,0
1395,sentence review,0
1396,review A,0
1397,A refreshingly,0
1398,refreshingly unique,1
1399,unique true,1
1400,true crime,1
1401,crime story,1
1402,story with,3
1403,with extremely,1
1404,extremely well,1
1405,well developed,1
1406,developed reallife,0
1407,reallife characters,0
1408,characters httpstcoZKpjLZogE,0
1409,He led,0
1410,led me,1
1411,me down,1
1412,down a,2
1413,a dark,2
1414,dark passage,0
1415,passage thru,0
1416,thru a,1
1417,a forest,0
1418,forest thru,0
1419,thru the,1
1420,the mountains,0
1421,mountains âœHere,0
1422,âœHere you,0
1423,you are,5
1424,are safeâÂ,0
1425,safeâÂ There,0
1426,There were,0
1427,were others,1
1428,others who,1
1429,who had,1
1430,had been,1
1431,been led,1
1432,led to,1
1433,to this,3
1434,this retreat,0
1435,retreat The,0
1436,The heavenly,0
1437,heavenly messenger,1
1438,messenger said,0
1439,said âœThetimeoftrouble,0
1440,âœThetimeoftrouble has,0
1441,has come,1
1442,come as,1
1443,as a,8
1444,night as,0
1445,as the,32
1446,the Lord,0
1447,Lord warned,0
1448,warned you,1
1449,you it,1
1450,it wouldâÂ,0
1451,AuthorJRose Hi,0
1452,Hi I,0
1453,I would,0
1454,would love,2
1455,love to,2
1456,to have,2
